Track Name;Artist Name(s);Album Release Date;Album Name;Track Duration (ms);Album Artist Name(s);Track Number
Animals - Victor Niglio & Martin Garrix Festival Trap Mix;Martin Garrix, Victor Niglio;2013;Animals;198480;Martin Garrix;3
Another Brick in the Wall, Pt. 2;Pink Floyd;1979;The Wall;238746;Pink Floyd;5
Another Brick In The Wall, Pt. 2 - 2011 Remastered Version;Pink Floyd;1979;The Wall [2011 - Remaster] (2011 Remastered Version);238746;Pink Floyd;5
Another One Bites The Dust - Remastered 2011;Queen;1980;The Game (2011 Remaster);214653;Queen;3
Another You;Armin van Buuren, Mr. Probz;2015;Embrace;192306;Armin van Buuren;2
ANSIA NO;FSK SATELLITE;2019;FSK TRAPSHIT REVENGE;148500;FSK SATELLITE;2
ANTIPATICO;Salmo;2021;FLOP;117240;Salmo;1
Anywhere;Lucas & Steve;2018;Anywhere;176500;Lucas & Steve;1
Apologize;OneRepublic;2007;Dreaming Out Loud (International Version);208106;OneRepublic;4
APPARTENGO - Il sangue (feat. Massimo Pericolo);Marracash, Massimo Pericolo;2020;Persona;255449;Marracash;4
Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered];The 5th Dimension;2011;The Essential Fifth Dimension;290400;The 5th Dimension;14
Arabella;Arctic Monkeys;2013;AM;207356;Arctic Monkeys;4
Arms Around You (feat. Maluma & Swae Lee);XXXTENTACION, Lil Pump, Swae Lee, Maluma;2018;Arms Around You (feat. Maluma & Swae Lee);198902;XXXTENTACION, Lil Pump, Swae Lee;1
Artillery - PSY Mix;Skazi, JETFIRE;2019;Artillery (PSY Mix);225652;Skazi, JETFIRE;1
Ascolta;gIANMARIA;2021;Ascolta;154960;gIANMARIA;1
At the Hop;Angelo Grey Band;2011;San Valentino (Love Affinity);154775;Angelo Grey Band;14
Atmosphere;Kaskade;2013;Atmosphere;231453;Kaskade;8
Auto Blu;Shiva, Eiffel 65;2020;Auto Blu;166086;Shiva, Eiffel 65;1
Avalancha;Heroes Del Silencio;1995;Avalancha;358133;Heroes Del Silencio;5
Awaken;League of Legends, Valerie Broussard, Ray Chen;2019;Awaken;198187;League of Legends, Valerie Broussard, Ray Chen;1
Baba O'Riley;The Who;1971;300400;Who's Next;The Who;1
Baby Hold On;Eddie Money;1977;210826;Eddie Money;Eddie Money;6
Back & Forth;MK, Jonas Blue, Becky Hill;2018;Back & Forth;196214;MK, Jonas Blue, Becky Hill;1
Back 2 U (feat. WALK THE MOON) - DBSTF Remix;Steve Aoki, Boehm, WALK THE MOON, Dbstf;2016;Back 2 U (feat. WALK THE MOON) [Remixes];314999;Steve Aoki, Boehm;4
Back In Black;AC/DC;1980;Back In Black;255493;AC/DC;6
Backlash - Martin Garrix Edit;DubVision;2014;Ibiza Calling;376062;Artisti Vari;9
Bad (feat. Vassy) - Radio Edit;David Guetta, Showtek, VASSY;2014;Bad (feat. Vassy) [Radio Edit];170625;David Guetta, Showtek, VASSY;1
Bad Company - 2015 Remaster;Bad Company;1974;288053;Bad Company (Deluxe);Bad Company;5
Bad Day;Daniel Powter;2005;Daniel Powter;233640;Daniel Powter;3
bad guy;Billie Eilish;2019;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;194087;Billie Eilish;2
Bad Moon Rising;Creedence Clearwater Revival;2007;Creedence Clearwater / Rock Legends (International Version);140480;Creedence Clearwater Revival;1
Baila Baila Baila;Ozuna;2019;Baila Baila Baila;158400;Ozuna;1
Baila Conmigo (feat. Kelly Ruiz);Dayvi, Victor Cardenas, Kelly Ruíz;2018;Baila Conmigo (feat. Kelly Ruiz);189817;Dayvi, Victor Cardenas;1
Bailar (feat. Elvis Crespo) - Radio Edit;Deorro, Elvis Crespo;2017;Good Evening;137661;Deorro;25
Baile De Los Pobres;Calle 13;2010;Entren Los Que Quieran;207986;Calle 13;3
Balaclava (feat. Capo Plaza);Tony Effe, Capo Plaza;2021;Untouchable;187550;Tony Effe;1
Balkan Disco - Pete Dash Remix;Tim van Werd;2019;Balkan Disco (The Remixes);142857;Tim van Werd;1
Ballin' (with Roddy Ricch);Mustard, Roddy Ricch;2019;Perfect Ten;180434;Mustard;9
Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3);Achille Lauro, Gow Tribe, Frenetik&Orang3;2020;1969 - Achille Idol Rebirth;174638;Achille Lauro;2
Bamboleo Narcos;Nalo;2021;Bamboleo Narcos;212006;Nalo;1
Banana Boat (Day-O);Harry Belafonte;2017;The Legacy of Harry Belafonte: When Colors Come Together;184453;Harry Belafonte;3
Band On The Run - Remastered 2010;Paul McCartney, Wings;1973;313026;Band On The Run (Standard);Paul McCartney, Wings;1
Bang A Gong (Get It On);T. Rex;2005;264093;Jarhead;Thomas Newman;11
Bang My Head (feat. Sia & Fetty Wap);David Guetta;2015;Listen Again;193333;David Guetta;15
Bangarang (feat. Sirah);Skrillex, Sirah;2011;Bangarang EP;215253;Skrillex;2
Barbra Streisand - Radio Edit;Duck Sauce;2013;Diez Años De Mas Nescafé;195813;Artisti Vari;13
Barely Breathing;Duncan Sheik;1996;254546;Duncan Sheik;Duncan Sheik;3
BARRACA (feat. MC Pikachu);Garmiani, Mc Pikachu;2019;BARRACA (feat. MC Pikachu);150019;Garmiani, Mc Pikachu;1
Barracuda;Heart;1977;261933;Little Queen;Heart;1
Barrio;Mahmood;2019;Barrio;165245;Mahmood;1
Basket Case;Green Day;1994;Dookie;181533;Green Day;7
Bass (Hold On);Dubdogz, Clubbers;2018;Bass (Hold On);205440;Dubdogz, Clubbers;1
Battleborn;Ran-D, Frequencerz, Adaro;2019;Battleborn;260983;Ran-D, Frequencerz, Adaro;1
Bazaar (Official Sunburn Goa 2015 Anthem);KSHMR, Marnik;2015;Bazaar (Official Sunburn Goa 2015 Anthem);172500;KSHMR, Marnik;1
Be Alright;Dean Lewis;2018;Be Alright;196373;Dean Lewis;1
Be Alright;Stonebank, EMEL;2016;Be Alright;299294;Stonebank;1
Be My Baby;The Ronettes;2011;Be My Baby: The Very Best of The Ronettes;160906;The Ronettes;2
